condition,bootstrap_configuration,cluster_counts,probability,D,alpha,beta,weighted_sse,converged,alpha_at_lower_bound,beta_at_lower_bound,any_upper_bound
nordholt_ddac,53,0;0;2;0;3;1,0.001286008230452675,-999.9999999999989,438.8955891012085,94.58934774211856,72.77031163674127,True,False,False,True
nordholt_ddac,54,0;0;2;0;4;0,0.0003215020576131692,-999.9999999999989,425.7081743452532,92.91718229048732,72.28091688303618,True,False,False,True
nordholt_ddac,55,0;0;2;1;0;3,0.001286008230452675,-75.1655482151221,1.0000000000000018e-08,31.91214645996453,110.42888030333363,True,True,False,False
nordholt_ddac,56,0;0;2;1;1;2,0.0038580246913580292,-75.18750593563395,1.0000000000000018e-08,31.989764492588616,107.50569980415827,True,True,False,False
nordholt_ddac,57,0;0;2;1;2;1,0.0038580246913580292,-75.2104727046752,1.0000000000000018e-08,32.054520750642084,104.57823227515566,True,True,False,False
nordholt_ddac,58,0;0;2;1;3;0,0.001286008230452675,-75.2341969882835,1.0000000000000018e-08,32.10924669489084,101.64730300487467,True,True,False,False
nordholt_ddac,59,0;0;2;2;0;2,0.0019290123456790144,-72.77886871050694,1.0000000000000018e-08,29.375151620731685,99.13109114323716,True,True,False,False
nordholt_ddac,60,0;0;2;2;1;1,0.0038580246913580292,-72.79444910435889,1.0000000000000018e-08,29.59250210709852,96.63624790385911,True,True,False,False
nordholt_ddac,61,0;0;2;2;2;0,0.0019290123456790144,-72.81098034342583,1.0000000000000018e-08,29.786752917906664,94.09656579006239,True,True,False,False
nordholt_ddac,62,0;0;2;3;0;1,0.001286008230452675,-70.13315295741769,1.0000942120619552e-08,28.31951959893704,79.36460790881605,True,True,False,False
nordholt_ddac,63,0;0;2;3;1;0,0.001286008230452675,-70.15901527992447,1.0000000000000018e-08,28.54771453660882,77.29008221901901,True,True,False,False
nordholt_ddac,64,0;0;2;4;0;0,0.0003215020576131692,-67.43305377599533,1.0000000000000018e-08,27.860091193694977,52.97540341476881,True,True,False,False
nordholt_ddac,65,0;0;3;0;0;3,0.0004286694101508915,-999.9999999999989,471.8881273389828,95.42036129130298,73.97697311106901,True,False,False,True
nordholt_ddac,66,0;0;3;0;1;2,0.001286008230452675,-999.9999999994367,456.995272739742,93.61398368535077,72.87522198827213,True,False,False,True
nordholt_ddac,67,0;0;3;0;2;1,0.001286008230452675,-999.9999999999989,446.11377566629017,92.23231277742741,71.61970133930409,True,False,False,True
nordholt_ddac,68,0;0;3;0;3;0,0.0004286694101508915,-999.9999999999989,438.1429590325752,91.16182622300772,70.24326120496785,True,False,False,True
nordholt_ddac,69,0;0;3;1;0;2,0.001286008230452675,-72.343553760925,1.0000000000000018e-08,30.672506169422498,100.36243857259635,True,True,False,False
nordholt_ddac,70,0;0;3;1;1;1,0.00257201646090535,-72.34221871146846,1.0000195010114964e-08,30.918789048793993,97.64676028718434,True,True,False,False
nordholt_ddac,71,0;0;3;1;2;0,0.001286008230452675,-72.34374469914269,1.0000000000089582e-08,31.12591294361307,94.89943248620195,True,True,False,False
nordholt_ddac,72,0;0;3;2;0;1,0.001286008230452675,-69.85115654032134,1.0000000000000018e-08,28.7008776487234,81.22031574344953,True,True,False,False
nordholt_ddac,73,0;0;3;2;1;0,0.001286008230452675,-69.86203720300138,1.0000000000000018e-08,29.000295370387636,79.04383620957174,True,True,False,False
nordholt_ddac,74,0;0;3;3;0;0,0.0004286694101508915,-67.1777693910324,1.0000000000000018e-08,27.987966202889318,54.55096134658696,True,True,False,False
nordholt_ddac,75,0;0;4;0;0;2,0.0003215020576131692,-999.9999999999989,438.02509954778697,88.43753890172991,66.14375149750599,True,False,False,True
nordholt_ddac,76,0;0;4;0;1;1,0.0006430041152263385,-999.9999999999989,436.5926419979652,88.0767013124712,64.16520694910228,True,False,False,True
nordholt_ddac,77,0;0;4;0;2;0,0.0003215020576131692,-999.9999999999944,436.48107353597146,87.85610132076107,62.15608805711605,True,False,False,True
nordholt_ddac,78,0;0;4;1;0;1,0.0006430041152263385,-69.46652311554824,1.0000000000000018e-08,29.626379549848156,82.75687748198172,True,True,False,False
nordholt_ddac,79,0;0;4;1;1;0,0.0006430041152263385,-69.44982027075964,1.0000000000000018e-08,30.052423728519994,80.35757730511531,True,True,False,False
nordholt_ddac,80,0;0;4;2;0;0,0.0003215020576131692,-66.89805137716696,1.0000033262320422e-08,28.22151196902229,56.05338850803642,True,True,False,False
nordholt_ddac,81,0;0;5;0;0;1,0.00012860082304526734,-999.9999999999723,407.4462835617377,81.90444171597392,49.04618014306014,True,False,False,True
nordholt_ddac,82,0;0;5;0;1;0,0.00012860082304526734,-999.9999999999989,417.4568262646923,82.75343779396452,46.8451364310845,True,False,False,True
nordholt_ddac,83,0;0;5;1;0;0,0.00012860082304526734,-999.9999999999989,286.36463648733746,65.92179679709272,40.54123770615817,True,False,False,True
nordholt_ddac,84,0;0;6;0;0;0,2.1433470507544566e-05,-999.9999999999989,379.7176496827843,75.75917959042145,22.684289394784898,True,False,False,True
nordholt_ddac,85,0;1;0;0;0;5,0.00012860082304526734,-77.66974617488617,1.0000000000000018e-08,31.374166455218898,179.73392055059296,True,True,False,False
nordholt_ddac,86,0;1;0;0;1;4,0.0006430041152263385,-77.70619775998513,1.0000000000000018e-08,31.45611409401065,176.76974683558598,True,True,False,False
nordholt_ddac,87,0;1;0;0;2;3,0.001286008230452675,-77.74331992850898,1.0000000000000018e-08,31.525461803655958,173.79951431987723,True,True,False,False
nordholt_ddac,88,0;1;0;0;3;2,0.001286008230452675,-77.78112348373814,1.0000035703311401e-08,31.58472188625148,170.82425283599292,True,True,False,False
nordholt_ddac,89,0;1;0;0;4;1,0.0006430041152263385,-77.8196049766211,1.0000000000000018e-08,31.63575057558079,167.844728634523,True,True,False,False
nordholt_ddac,90,0;1;0;0;5;0,0.00012860082304526734,-77.85864675648466,1.0000000000000018e-08,31.680057615024438,164.86152234491846,True,True,False,False
nordholt_ddac,91,0;1;0;1;0;4,0.0006430041152263385,-75.29517066920005,1.0000000000000018e-08,28.95679555081021,171.95988252363327,True,True,False,False
nordholt_ddac,92,0;1;0;1;1;3,0.00257201646090535,-75.32504133724359,1.0000000000000018e-08,29.16116072710147,169.44297400188503,True,True,False,False
nordholt_ddac,93,0;1;0;1;2;2,0.0038580246913580292,-75.35532314718874,1.0000000000000018e-08,29.344434619600218,166.88074736565164,True,True,False,False
nordholt_ddac,94,0;1;0;1;3;1,0.00257201646090535,-75.38596845848372,1.0001260759217854e-08,29.50961131467658,164.27975689817276,True,True,False,False
nordholt_ddac,95,0;1;0;1;4;0,0.0006430041152263385,-75.41690903295175,1.0000000000000018e-08,29.659167286582715,161.64534038273007,True,True,False,False
nordholt_ddac,96,0;1;0;2;0;3,0.001286008230452675,-72.71331327678325,1.0000000000000018e-08,27.841952332986175,156.25486838405476,True,True,False,False
nordholt_ddac,97,0;1;0;2;1;2,0.0038580246913580292,-72.74355426301565,1.0000000000000018e-08,28.061813728419043,154.1747258241553,True,True,False,False
nordholt_ddac,98,0;1;0;2;2;1,0.0038580246913580292,-72.77377074254018,1.000014045288074e-08,28.264010349034663,152.0274136680584,True,True,False,False
nordholt_ddac,99,0;1;0;2;3;0,0.001286008230452675,-72.80388630867854,1.0000000000000018e-08,28.450579154640884,149.82067589167895,True,True,False,False
nordholt_ddac,100,0;1;0;3;0;2,0.001286008230452675,-70.02027270856318,1.0000000000000018e-08,27.31341239790055,134.47254795136513,True,True,False,False
nordholt_ddac,101,0;1;0;3;1;1,0.00257201646090535,-70.05787575919034,1.0000000000000018e-08,27.524283191179276,132.74122107248115,True,True,False,False
nordholt_ddac,102,0;1;0;3;2;0,0.001286008230452675,-70.09508895317667,1.0000000000000018e-08,27.721260328320533,130.93471906431859,True,True,False,False
nordholt_ddac,103,0;1;0;4;0;1,0.0006430041152263385,-67.3056025115761,1.0000000000000018e-08,27.112129063292087,106.89776663503525,True,True,False,False
nordholt_ddac,104,0;1;0;4;1;0,0.0006430041152263385,-67.36202974871765,1.0000000000000018e-08,27.305907452425384,105.45958973476782,True,True,False,False
nordholt_ddac,105,0;1;0;5;0;0,0.00012860082304526734,-64.6870397483196,1.0000000000000018e-08,27.10138575817523,73.46157442562682,True,True,False,False
nordholt_ddac,106,0;1;1;0;0;4,0.0006430041152263385,-74.98306469926706,1.0000000000000018e-08,29.834300941753092,173.88736155008735,True,True,False,False
nordholt_ddac,107,0;1;1;0;1;3,0.00257201646090535,-74.99785611617885,1.0000000000000018e-08,30.078130344713117,171.20019638316992,True,True,False,False
nordholt_ddac,108,0;1;1;0;2;2,0.0038580246913580292,-75.01463583687578,1.0000000000000018e-08,30.285781833059513,168.4740271572581,True,True,False,False
nordholt_ddac,109,0;1;1;0;3;1,0.00257201646090535,-75.03305963747205,1.0000000000000018e-08,30.464447403722815,165.71688196561212,True,True,False,False
nordholt_ddac,110,0;1;1;0;4;0,0.0006430041152263385,-75.05273600184358,1.0000006908725171e-08,30.619653908693564,162.93471998202315,True,True,False,False
nordholt_ddac,111,0;1;1;1;0;3,0.00257201646090535,-72.49440928081621,1.0000000000000018e-08,28.02173467237626,158.58182992027662,True,True,False,False
nordholt_ddac,112,0;1;1;1;1;2,0.007716049382716059,-72.51058607324525,1.0000000000000018e-08,28.310980668386243,156.4474339915821,True,True,False,False
nordholt_ddac,113,0;1;1;1;2;1,0.007716049382716059,-72.52795639715339,1.0000000000000018e-08,28.570200599897202,154.23106390443849,True,True,False,False
nordholt_ddac,114,0;1;1;1;3;0,0.00257201646090535,-72.54612488735815,1.0000000000000018e-08,28.803813609600592,151.94496778184055,True,True,False,False
