condition,parameter,fixed_value,profile_sse,reference_sse,relative_sse,delta_sse,conditional_gaussian_lr,n_observations,converged,optimized_D,optimized_alpha,optimized_beta
nordholt_h2o2,D_abs,0.025118864315095808,414.486090940095,88.32837226155871,4.692558917679535,326.1577186785363,54.10923157891693,35,True,-0.025118864315095805,1.0002441869940079e-08,999.9999993092243
nordholt_h2o2,D_abs,0.03162277660168379,414.4377012750338,88.32837226155871,4.692011079382256,326.1093290134751,54.10514522430878,35,True,-0.0316227766016838,1.0002441869940079e-08,999.9999989406498
nordholt_h2o2,D_abs,0.039810717055349734,414.37678740096993,88.32837226155871,4.691321449623389,326.0484151394112,54.10000056135897,35,True,-0.03981071705534973,1.0002441869940079e-08,999.9999989406498
nordholt_h2o2,D_abs,0.05011872336272725,414.300109467778,88.32837226155871,4.690453348794304,325.97173720621925,54.093523422489724,35,True,-0.05011872336272725,1.0000000602237158e-08,999.9999999999989
nordholt_h2o2,D_abs,0.06309573444801933,414.2035904922109,88.32837226155871,4.689360619775351,325.8752182306522,54.08536856654812,35,True,-0.06309573444801932,1.0000122399246367e-08,999.999999999998
nordholt_h2o2,D_abs,0.07943282347242818,414.08210062431687,88.32837226155871,4.687985185531706,325.7537283627581,54.07510122654119,35,True,-0.07943282347242818,1.0000122399246367e-08,999.9999993092243
nordholt_h2o2,D_abs,0.1,413.9291861523988,88.32837226155871,4.686253981072675,325.6008138908401,54.06217385063835,35,True,-0.10000000000000002,1.0000122399246367e-08,999.9999993092243
nordholt_h2o2,D_abs,0.12589254117941676,413.73672928735874,88.32837226155871,4.684075101737391,325.4083570258,54.045896774895226,35,True,-0.12589254117941673,1.0000122399246367e-08,999.9999993092243
nordholt_h2o2,D_abs,0.1584893192461114,413.49452135727125,88.32837226155871,4.681332971163873,325.1661490957125,54.02540122957171,35,True,-0.1584893192461114,1.0000122399246367e-08,999.9999993092243
nordholt_h2o2,D_abs,0.19952623149688808,413.1897278696628,88.32837226155871,4.677882285050176,324.8613556081041,53.9995926513639,35,True,-0.19952623149688808,1.002486675751216e-08,999.9999999996836
nordholt_h2o2,D_abs,0.25118864315095824,412.8062188344345,88.32837226155871,4.673540429478642,324.4778465728758,53.96709172384461,35,True,-0.25118864315095824,1.002486675751216e-08,999.9999993092243
nordholt_h2o2,D_abs,0.31622776601683794,412.3237316648226,88.32837226155871,4.668078003790743,323.99535940326393,53.926159861291616,35,True,-0.316227766016838,1.002486675751216e-08,999.9999993092243
nordholt_h2o2,D_abs,0.3981071705534973,411.71682680100383,88.32837226155871,4.661206996794014,323.3884545394451,53.87460493755359,35,True,-0.3981071705534973,1.002486675751216e-08,999.9999993092243
nordholt_h2o2,D_abs,0.5011872336272725,410.9535879252365,88.32837226155871,4.652566071390032,322.62521566367775,53.809661874479865,35,True,-0.5011872336272725,1.0000001301954417e-08,999.9999999999989
nordholt_h2o2,D_abs,0.6309573444801936,409.9940094143718,88.32837226155871,4.641702308294487,321.66563715281313,53.727841151002764,35,True,-0.6309573444801936,1.0000001301954417e-08,999.9999993092243
nordholt_h2o2,D_abs,0.7943282347242822,408.78800395903613,88.32837226155871,4.628048649515805,320.45963169747745,53.62473624451356,35,True,-0.7943282347242822,1.0000003591720261e-08,999.9999999999989
nordholt_h2o2,D_abs,1.0,407.27295404923655,88.32837226155871,4.610896177767394,318.94458178767786,53.49477828672646,35,True,-1.0,1.0000003591720261e-08,999.9999993092243
nordholt_h2o2,D_abs,1.2589254117941675,405.37072416592184,88.32837226155871,4.589360290321378,317.04235190436316,53.33092254207052,35,True,-1.2589254117941675,1.0000005344366575e-08,999.9999999999989
nordholt_h2o2,D_abs,1.584893192461114,402.98404942424173,88.32837226155871,4.562339813428487,314.655677162683,53.12424631173534,35,True,-1.584893192461114,1.0000006925769754e-08,999.9999999999989
nordholt_h2o2,D_abs,1.9952623149688808,399.9922269916141,88.32837226155871,4.528468223179226,311.6638547300554,52.86343096068962,35,True,-1.9952623149688808,1.0000008352467614e-08,999.9999999999989
nordholt_h2o2,D_abs,2.5118864315095824,396.2460688662073,88.32837226155871,4.48605650393783,307.91769660464854,52.53409110724898,35,True,-2.5118864315095824,1.0000009682303295e-08,999.9999999999989
nordholt_h2o2,D_abs,3.1622776601683795,391.5621452455266,88.32837226155871,4.433027975269708,303.2337729839679,52.11790032500465,35,True,-3.1622776601683795,1.000001394505177e-08,999.9999999999989
nordholt_h2o2,D_abs,3.981071705534973,385.716484241528,88.32837226155871,4.366846963955603,297.38811197996927,51.59144305497321,35,True,-3.9810717055349736,1.0000017467929145e-08,999.999999999998
nordholt_h2o2,D_abs,5.011872336272725,378.4381410024491,88.32837226155871,4.284445997508195,290.10976874089033,50.9246939213252,35,True,-5.011872336272725,1.0000017467929145e-08,999.9999993092243
