condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,125,3;2;3,-4.0208552487731675,1.0000013376230197e-08,0.5702190869137657,13.798867477060478
ciprofloxacin,assumed_0.1pct,0.001,126,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,127,2;2;1,-4.770465984827408,1.0000237006140267e-08,0.4785047624546286,10.040415225970586
ciprofloxacin,assumed_0.1pct,0.001,128,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,129,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,130,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,131,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,132,1;3;1,-4.804534168709299,1.0000001074871752e-08,0.5884788750742467,12.979045018610098
ciprofloxacin,assumed_0.1pct,0.001,133,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,134,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,135,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,136,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,137,3;2;2,-4.246798470220385,1.0000008453617223e-08,0.500813315224446,12.322395134899415
ciprofloxacin,assumed_0.1pct,0.001,138,2;3;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,139,3;2;3,-4.0208552487731675,1.0000013376230197e-08,0.5702190869137657,13.798867477060478
ciprofloxacin,assumed_0.1pct,0.001,140,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,141,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,142,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,143,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,144,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,145,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,146,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,147,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,148,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,149,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,150,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,151,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,152,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,153,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,154,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,155,2;3;3,-4.020853526522834,1.0000000000142446e-08,0.5702192590999625,13.798867477055168
ciprofloxacin,assumed_0.1pct,0.001,156,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,157,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,158,2;3;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,159,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,160,2;2;1,-4.770465984827408,1.0000237006140267e-08,0.4785047624546286,10.040415225970586
ciprofloxacin,assumed_0.1pct,0.001,161,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,162,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,163,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,164,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,165,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,166,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,167,2;2;3,-4.2468014256329685,1.0000006990679619e-08,0.5008131312271882,12.322395134934537
ciprofloxacin,assumed_0.1pct,0.001,168,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,169,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,170,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,171,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,172,1;3;3,-4.2841086597677815,1.000000038640098e-08,0.6120669621982238,14.385707793608091
ciprofloxacin,assumed_0.1pct,0.001,173,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,174,3;1;3,-4.284108824733373,1.0000000157995094e-08,0.6120669570266591,14.385707793610713
ciprofloxacin,assumed_0.1pct,0.001,175,3;3;1,-4.284108599810683,1.0000000219532004e-08,0.6120669412629607,14.385707793607565
