condition,initial_condition_scenario,initial_fraction,trial,split_id,n_train_observations,n_test_observations,train_times_h,test_times_h,method,test_rmse_observed_log,D,alpha,beta,train_sse,initial_condition_max_abs_error
ampicillin,assumed_0.1pct,0.001,9,3f1a2829110a,49,11,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,PINN,1.0281871188536518,-4.79785110375007,2.4185630575825218e-05,1.3509262929206578,0.3176272106935841,0.0
ampicillin,assumed_0.1pct,0.001,10,81b42f0bc07a,50,10,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,NLLS,1.2806369580887287,-4.562121705969015,1.4630917454364883e-08,1.3462756004983805,50.540845427316334,0.0
ampicillin,assumed_0.1pct,0.001,10,81b42f0bc07a,50,10,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,NN,1.227237007067616,,,,0.9982646620440759,0.0
ampicillin,assumed_0.1pct,0.001,10,81b42f0bc07a,50,10,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,PINN,1.209797899968577,-4.51623525662648,0.00014160146036530004,1.332371194789142,0.29237416184256065,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,1,0c4cb4b687bd,49,11,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NLLS,1.1089868239889586,-4.1792326893413785,5.779169827523519e-08,0.6179729557299043,46.948344525216044,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,1,0c4cb4b687bd,49,11,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NN,1.1230902948647206,,,,0.9587693946500181,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,1,0c4cb4b687bd,49,11,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,PINN,1.0355438445294414,-4.125329293134304,2.424201086988508e-06,0.6213747845902524,0.2768490320421583,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,2,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,1.0795547757019113,-4.36266223524626,0.00040832640831188884,0.9770704660009916,49.125245116445114,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,2,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,0.9504342113150368,,,,1.0126942322621597,0.0
ampicillin,classification_anchor,1.5908037919303823e-05,2,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,0.961334390265964,-4.014005960189528,5.505070068186161e-05,0.7182973127303571,0.2800206296460898,0.0
