dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,training_objective,network_train_sse,ode_implied_train_sse,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,selected_weight_seed_index,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_network_seed,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2
Umetani,ampicillin,assumed_0.1pct,0.001,9,80009,0;0.666666666667;1;2;2.5;3;4;5;6;7,0.333333333333;1.5,49,11,NN,,,,54.64365457914175,1.1151864046869064,54.64365457914175,,0.8897349999986555,,,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,9,80009,0;0.666666666667;1;2;2.5;3;4;5;6;7,0.333333333333;1.5,49,11,PINN,-5.782739918838857,0.0001178623083675168,1.385950823698156,59.92425000369184,0.3865719268342776,59.92425000369184,60.218826299756955,1.5928546962404762,1.5940148804297982,0.006416386046486182,0.0,2.0,0.0,0.011675715784252971,0.015796354615541096,80009200.0,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,10,80010,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;5;7,4;6,50,10,NLLS,-4.561884834370973,1.000367515672963e-08,1.3463552391523215,50.54084117785398,50.54084117785398,50.54084117785397,50.54084117785397,1.2804768799228947,1.2804768799228947,0.0,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,10,80010,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;5;7,4;6,50,10,NN,,,,50.01401995539284,1.0002833220485203,50.01401995539284,,1.2198561478532888,,,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,10,80010,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;5;7,4;6,50,10,PINN,-6.527636979444881,0.0002281996260815871,1.2473262480279834,89.09484435112603,0.553446450588659,89.09484435112603,89.57551135070698,1.5052763362675592,1.4979664670320503,0.008975237202945062,0.0,2.0,1.0,0.010637357604234217,0.01622432780101022,80010201.0,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NLLS,-4.174069111541773,0.00016758712718108375,0.8760220165446873,58.35623958131517,58.35623958131517,58.35623958131517,58.35623958131517,,,0.0,0.0,,,,,,58.35623958131517,0.9593612449186854,58.35623958131517,0.9593612449186854
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NN,,,,59.55500195767079,0.9925834004430395,59.55500195767079,,,,,0.0,,,,,,59.55500195767079,0.9585264376904792,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,PINN,-4.023913896500038,6.052069474600023e-06,0.6340306787890829,59.20663720232451,0.3021874560465082,59.20663720232451,59.322941521050865,,,0.005811857497083826,0.0,1.0,0.0,0.010033823358936425,0.00496017139712011,81000100.0,59.20663720232451,0.9587690357412284,59.322941521050865,0.9586880424702855
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,1,81001,0;0.666666666667;1;1.5;2;2.5;4;5;6;7,0.333333333333;3,49,11,NLLS,-4.17923869343535,8.88748285353715e-08,0.6180588311071225,46.94836917130324,46.94836917130324,46.94836917130324,46.94836917130324,1.108923092802552,1.108923092802552,0.0,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,1,81001,0;0.666666666667;1;1.5;2;2.5;4;5;6;7,0.333333333333;3,49,11,NN,,,,46.98473121069317,0.9588721646526849,46.98473121069317,,1.1201545295477449,,,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,1,81001,0;0.666666666667;1;1.5;2;2.5;4;5;6;7,0.333333333333;3,49,11,PINN,-4.167709161719549,5.378494730231245e-06,0.6371955181134786,46.966443596558996,0.29126161529922034,46.966443596558996,46.96986945456386,1.09270925068026,1.0928158865181044,0.003664516873532222,0.0,1.0,0.0,0.0077753592566101645,0.0037345305583365114,81001100.0,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,2,81002,0;0.333333333333;0.666666666667;1;1.5;2.5;3;4;6;7,2;5,51,9,NLLS,-4.362614109831582,0.00040828530760604864,0.9770609848504292,49.12524504403664,49.12524504403664,49.12524504403664,49.12524504403664,1.0795271187230837,1.0795271187230837,0.0,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,2,81002,0;0.333333333333;0.666666666667;1;1.5;2.5;3;4;6;7,2;5,51,9,NN,,,,51.62978753166794,1.012348908808384,51.62978753166794,,0.9510228048003906,,,0.0,,,,,,,,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,2,81002,0;0.333333333333;0.666666666667;1;1.5;2.5;3;4;6;7,2;5,51,9,PINN,-3.992301721083468,9.014409020908249e-07,0.6012185977587505,51.224486291934355,0.30956720421455164,51.224486291934355,51.49337984888839,0.9550054629810705,0.9573179237787498,0.007545142962356538,0.0,1.0,1.0,0.012301114020571558,0.003980970481896896,81002101.0,,,,
