condition,trial,split_seed,initial_fraction,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,global_objective_before_polish,global_nfev,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_weight_seed_index
nordholt_ddac,1,5301,0.001,0;0.00555555555556;0.0111111111111;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.116666666667;0.133333333333;0.15;0.166666666667;0.25;0.333333333333,0.0166666666667;0.1;0.208333333333,72,16,NN,,,,127.69769297241427,,,1.1631816342593544,,,0.0,,,,
nordholt_ddac,1,5301,0.001,0;0.00555555555556;0.0111111111111;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.116666666667;0.133333333333;0.15;0.166666666667;0.25;0.333333333333,0.0166666666667;0.1;0.208333333333,72,16,PINN,-71.54133876317833,9.172437337202934e-05,22.45874763017528,0.5685123928437782,,,1.2487017981080124,1.2486089877574225,0.010823536239397281,0.0,1.0,0.2824807539897478,0.16092485409012866,2.0
nordholt_ddac,2,5302,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667;0.1;0.116666666667;0.15;0.166666666667;0.208333333333;0.25;0.333333333333,0.00555555555556;0.0833333333333;0.133333333333,70,18,NLLS,-69.36811686391536,1.0000001463248173e-08,25.274633643965792,116.01688789678575,116.01688790420039,2205.0,1.4012254628416656,1.4012254628416656,0.0,0.0,,,,
nordholt_ddac,2,5302,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667;0.1;0.116666666667;0.15;0.166666666667;0.208333333333;0.25;0.333333333333,0.00555555555556;0.0833333333333;0.133333333333,70,18,NN,,,,114.21627615639323,,,1.399406051622258,,,0.0,,,,
nordholt_ddac,2,5302,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667;0.1;0.116666666667;0.15;0.166666666667;0.208333333333;0.25;0.333333333333,0.00555555555556;0.0833333333333;0.133333333333,70,18,PINN,-69.24328261884612,6.276022940027632e-05,25.272651192248198,0.5000332574361781,,,1.3997890915610078,1.399594481378884,0.0043025905034979,0.0,1.0,0.14801656622025242,0.033134276245998164,0.0
nordholt_ddac,3,5303,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.1;0.116666666667;0.133333333333;0.15;0.25;0.333333333333,0.00555555555556;0.166666666667;0.208333333333,72,16,NLLS,-67.17743148179073,1.0000053175481158e-08,23.58778338163269,95.41555234428317,95.4155523525925,2115.0,1.9138262313783396,1.9138262313783396,0.0,0.0,,,,
nordholt_ddac,3,5303,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.1;0.116666666667;0.133333333333;0.15;0.25;0.333333333333,0.00555555555556;0.166666666667;0.208333333333,72,16,NN,,,,95.05352045213868,,,1.8816716185851454,,,0.0,,,,
nordholt_ddac,3,5303,0.001,0;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.1;0.116666666667;0.133333333333;0.15;0.25;0.333333333333,0.00555555555556;0.166666666667;0.208333333333,72,16,PINN,-68.44669321269606,0.0001088225453098701,22.1238029818642,0.4056923419389272,,,1.9613652173696836,1.9641383656435374,0.00867410104092978,0.0,1.0,0.1319332962008784,0.1018386816602613,0.0
nordholt_ddac,4,5304,0.001,0;0.00555555555556;0.0111111111111;0.05;0.0666666666667;0.0833333333333;0.1;0.133333333333;0.15;0.166666666667;0.208333333333;0.25;0.333333333333,0.0166666666667;0.0333333333333;0.116666666667,70,18,NLLS,-68.02902034759092,1.0000000120199514e-08,25.41085464724079,124.28960266872028,124.28960267996008,2475.0,1.2194417637138726,1.2194417637138726,0.0,0.0,,,,
nordholt_ddac,4,5304,0.001,0;0.00555555555556;0.0111111111111;0.05;0.0666666666667;0.0833333333333;0.1;0.133333333333;0.15;0.166666666667;0.208333333333;0.25;0.333333333333,0.0166666666667;0.0333333333333;0.116666666667,70,18,NN,,,,122.26732339075312,,,1.2228282976930747,,,0.0,,,,
nordholt_ddac,4,5304,0.001,0;0.00555555555556;0.0111111111111;0.05;0.0666666666667;0.0833333333333;0.1;0.133333333333;0.15;0.166666666667;0.208333333333;0.25;0.333333333333,0.0166666666667;0.0333333333333;0.116666666667,70,18,PINN,-68.63440871382457,8.239181132426873e-05,24.92284275436471,0.5369742432584842,,,1.2160055466458024,1.2167060829595533,0.0032359433501687944,0.0,1.0,0.13535562121008488,0.09811735010216616,2.0
nordholt_ddac,5,5305,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0833333333333;0.116666666667;0.133333333333;0.15;0.166666666667;0.208333333333;0.333333333333,0.0666666666667;0.1;0.25,73,15,NLLS,-69.67482601910523,1.0000002785264515e-08,25.76063480844335,137.18941817700835,137.18941820448964,2295.0,0.9880246789327909,0.9880246789327909,0.0,0.0,,,,
nordholt_ddac,5,5305,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0833333333333;0.116666666667;0.133333333333;0.15;0.166666666667;0.208333333333;0.333333333333,0.0666666666667;0.1;0.25,73,15,NN,,,,135.54478561194043,,,0.9767526564070134,,,0.0,,,,
nordholt_ddac,5,5305,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.05;0.0833333333333;0.116666666667;0.133333333333;0.15;0.166666666667;0.208333333333;0.333333333333,0.0666666666667;0.1;0.25,73,15,PINN,-80.93673150187374,9.364806749314459e-05,20.167288469043996,0.6711767657238341,,,1.419766918696545,1.4269543908667521,0.021669333388103583,0.0,1.0,0.15205604881213272,0.11911347715840163,2.0
nordholt_ddac,6,5306,0.001,0;0.00555555555556;0.0111111111111;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.1;0.116666666667;0.133333333333;0.166666666667;0.25;0.333333333333,0.0166666666667;0.15;0.208333333333,72,16,NLLS,-67.70463100486396,1.0000002215835353e-08,24.66303166270956,119.56167000072882,119.56167000764346,2295.0,1.4145040621320102,1.4145040621320102,0.0,0.0,,,,
nordholt_ddac,6,5306,0.001,0;0.00555555555556;0.0111111111111;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.1;0.116666666667;0.133333333333;0.166666666667;0.25;0.333333333333,0.0166666666667;0.15;0.208333333333,72,16,NN,,,,118.08582910842884,,,1.4024301996881037,,,0.0,,,,
nordholt_ddac,6,5306,0.001,0;0.00555555555556;0.0111111111111;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.1;0.116666666667;0.133333333333;0.166666666667;0.25;0.333333333333,0.0166666666667;0.15;0.208333333333,72,16,PINN,-68.66077618900454,9.425561030022263e-05,23.988663010589743,0.504099608813704,,,1.4198143066762425,1.4203376580047968,0.0025416061697641308,0.0,1.0,0.18800735656974082,0.02577332427431019,2.0
